,address,category,date,dayofweek,descript,incidntnum,location,pddistrict,resolution,time,x,y
0,18TH ST / CASTRO ST,ASSAULT,2005-04-20,Wednesday,BATTERY,50436712,"{u'latitude': u'37.7608878061245', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.435002864271'}",MISSION,NONE,04:00,-122.435002864,37.7608878061
1,1100 Block of CLAYTON ST,LARCENY/THEFT,2008-01-13,Sunday,GRAND THEFT FROM A BUILDING,80049078,"{u'latitude': u'37.7622550270122', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.446837820235'}",PARK,NONE,18:00,-122.44683782,37.762255027
2,0 Block of SGTJOHNVYOUNG LN,ASSAULT,2013-05-05,Sunday,AGGRAVATED ASSAULT WITH A KNIFE,130366639,"{u'latitude': u'37.7249307267936', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.444707063455'}",INGLESIDE,"ARREST, BOOKED",04:10,-122.444707063,37.7249307268
3,MASON ST / TURK ST,DRIVING UNDER THE INFLUENCE,2003-07-08,Tuesday,DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL,30810835,"{u'latitude': u'37.7832878735491', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.408953598286'}",SOUTHERN,"ARREST, BOOKED",01:00,-122.408953598,37.7832878735
4,TURK ST / LEAVENWORTH ST,OTHER OFFENSES,2013-10-04,Friday,TRAFFIC VIOLATION ARREST,130839567,"{u'latitude': u'37.7827931071006', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.414056291891'}",TENDERLOIN,"ARREST, BOOKED",20:53,-122.414056292,37.7827931071
5,3100 Block of FRANKLIN ST,BURGLARY,2007-08-14,Tuesday,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",70838580,"{u'latitude': u'37.8034674969672', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.426730544229'}",NORTHERN,NONE,07:00,-122.426730544,37.803467497
6,MISSION ST / PERSIA AV,DRUG/NARCOTIC,2008-03-04,Tuesday,POSSESSION OF MARIJUANA,80233102,"{u'latitude': u'37.7231288306727', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.43597721703'}",INGLESIDE,"ARREST, CITED",14:23,-122.435977217,37.7231288307
7,2300 Block of SAN JOSE AV,OTHER OFFENSES,2006-07-05,Wednesday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",60711805,"{u'latitude': u'37.7201577971255', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.447241159611'}",INGLESIDE,"ARREST, CITED",15:50,-122.44724116,37.7201577971
8,0 Block of MOFFITT ST,LARCENY/THEFT,2003-12-10,Wednesday,GRAND THEFT FROM A BUILDING,40062593,"{u'latitude': u'37.7371566745272', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.432787775164'}",INGLESIDE,NONE,09:30,-122.432787775,37.7371566745
9,600 Block of CAMPBELL AV,NON-CRIMINAL,2011-01-17,Monday,"STAY AWAY OR COURT ORDER, NON-DV RELATED",110051822,"{u'latitude': u'37.7159000951041', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.408761072232'}",INGLESIDE,NONE,15:35,-122.408761072,37.7159000951
10,100 Block of HEMLOCK ST,LARCENY/THEFT,2006-01-07,Saturday,GRAND THEFT FROM LOCKED AUTO,60027038,"{u'latitude': u'37.7872360476925', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.420815202607'}",NORTHERN,NONE,22:00,-122.420815203,37.7872360477
11,3000 Block of 22ND ST,LARCENY/THEFT,2011-11-13,Sunday,PETTY THEFT BICYCLE,110929398,"{u'latitude': u'37.7555464259209', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.416014728293'}",MISSION,NONE,18:00,-122.416014728,37.7555464259
12,600 Block of LONDON ST,"SEX OFFENSES, FORCIBLE",2014-02-17,Monday,ASSAULT TO RAPE WITH BODILY FORCE,140196921,"{u'latitude': u'37.7193276406568', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.43792838007'}",INGLESIDE,COMPLAINANT REFUSES TO PROSECUTE,14:30,-122.43792838,37.7193276407
